U,A_j,alpha,threshold,mean_corr,median_corr,std_corr
0.6,2.5,0.5,0.2,0.346072741488506,0.34398034321723076,0.12790559167781893
0.3,2.5,0.5,0.2,0.2771062209972693,0.26632633105986425,0.11277471878716781
0.9,3.0,0.5,0.2,0.414405369625559,0.3868700242003926,0.19292043224233849
0.6,3.0,0.5,0.2,0.32490133991204745,0.3068448548182879,0.1229926377183853
0.3,3.0,0.5,0.2,0.2552487338740951,0.24615278763980675,0.10626689257348304
0.9,3.5,0.5,0.2,0.36013799732962076,0.36895602145669226,0.1714262854333049
0.6,3.5,0.5,0.2,0.3008376550710082,0.2822253153705089,0.1307509901182534
0.3,3.5,0.5,0.2,0.24125383831112082,0.23335368527462402,0.09884285430698313
0.9,4.0,0.5,0.2,0.3349713338254261,0.3054325012711601,0.17219806639952376
0.6,4.0,0.5,0.2,0.2812469376065348,0.26089983668480543,0.11889060674566732
0.3,4.0,0.5,0.2,0.20715839802787506,0.20728419787988736,0.09050153046897229
0.9,4.5,0.5,0.2,0.3149372969046279,0.3049686303621947,0.14567693419752903
0.6,4.5,0.5,0.2,0.24960026204934493,0.22472203206722244,0.12636309023554446
0.3,4.5,0.5,0.2,0.20729637780268695,0.20605179192006684,0.09719434956525447
0.9,5.0,0.5,0.2,0.303524648472929,0.26288111300639716,0.16624046129777484
0.6,5.0,0.5,0.2,0.24012810279461633,0.22391197306021912,0.10918885269338571
0.3,5.0,0.5,0.2,0.19582452813567644,0.18888990600937178,0.09146740547510711
0.9,0.0,0.75,0.2,0.004584600824646391,0.002737713645012984,0.027369982350082582
0.6,0.0,0.75,0.2,0.0041024131704674935,0.006263810023954601,0.024808516267122695
0.3,0.0,0.75,0.2,0.0015458327822383525,0.0044950318358802956,0.025819343911017464
0.9,0.5,0.75,0.2,0.5148064468032186,0.5253635333861636,0.18557706236599048
0.6,0.5,0.75,0.2,0.42500809711417986,0.4177417041068011,0.15965742248604142
0.3,0.5,0.75,0.2,0.3791842522232646,0.3767910904119829,0.12498677652060189
0.9,1.0,0.75,0.2,0.43939802288216084,0.43457805498868973,0.18196577688904794
0.6,1.0,0.75,0.2,0.40715922455774284,0.4104230496396435,0.12913226973263336
0.3,1.0,0.75,0.2,0.34124715818318696,0.3447135207839863,0.11680280841653556
0.9,1.5,0.75,0.2,0.46091689388955664,0.46098004591544983,0.1803747517256273
0.6,1.5,0.75,0.2,0.3557763694999151,0.3482672927089093,0.12818090478747515
0.3,1.5,0.75,0.2,0.32128044917807036,0.3028218257423153,0.12710550675786894
0.9,2.0,0.75,0.2,0.407896629627692,0.4034350588683399,0.17016648561668288
0.6,2.0,0.75,0.2,0.3570602375909153,0.3340927511161089,0.1516754426549558
0.3,2.0,0.75,0.2,0.31021299454536494,0.313593483347003,0.11640339604197265
0.9,2.5,0.75,0.2,0.4263696679749747,0.40155464538777086,0.17728639482444736
0.6,2.5,0.75,0.2,0.34507228727906003,0.3240995422634235,0.1402921174383357
0.3,2.5,0.75,0.2,0.2794979470315061,0.280525900374141,0.11156518190588
0.9,3.0,0.75,0.2,0.38162937184345,0.37599604771338146,0.15712679046702818
0.6,3.0,0.75,0.2,0.309978263206875,0.2938364602212723,0.13607511415311818
0.3,3.0,0.75,0.2,0.25102774356864715,0.2484265536999997,0.10101045444758876
0.9,3.5,0.75,0.2,0.3848764059849033,0.37805289579291435,0.16152463833064934
0.6,3.5,0.75,0.2,0.3222131854871158,0.3239916303439014,0.12981932319323572
0.3,3.5,0.75,0.2,0.2486069884946563,0.23979681799997357,0.10283665706522847
0.9,4.0,0.75,0.2,0.34893687047052063,0.31762844296538695,0.16284121227211437
0.6,4.0,0.75,0.2,0.29171180653834144,0.28279826143727416,0.1173209605807739
0.3,4.0,0.75,0.2,0.23014462448759276,0.2122173746257659,0.10099808244597984
0.9,4.5,0.75,0.2,0.320825236228671,0.30110852892619644,0.16102725132627294
0.6,4.5,0.75,0.2,0.24520838574796205,0.23569357874038616,0.12082286099083349
0.3,4.5,0.75,0.2,0.19384840076426066,0.1933521761893725,0.07795814297249047
0.9,5.0,0.75,0.2,0.329955516723331,0.2946083697764227,0.1667016059281949
0.6,5.0,0.75,0.2,0.2547004871388572,0.25530000944945896,0.11613398487658624
0.3,5.0,0.75,0.2,0.18371732172690663,0.1741572228097998,0.08644626391341614
0.9,0.0,1.0,0.2,0.0014864896930254403,-0.0006824000379229596,0.02222884463683351
0.6,0.0,1.0,0.2,-0.0038934486530900793,-0.006637739993718847,0.0289689813025406
0.3,0.0,1.0,0.2,0.002185358348858763,0.0014667824052578614,0.02382498031152565
0.9,0.5,1.0,0.2,0.47070476749286094,0.4551776054632639,0.1909332369658784
0.6,0.5,1.0,0.2,0.39777367614704323,0.4032801407600562,0.15996006805957275
0.3,0.5,1.0,0.2,0.3735696412511597,0.3846989449186572,0.12287802156533827
0.9,1.0,1.0,0.2,0.4697252895522437,0.4756126469120097,0.18196211766152495
0.6,1.0,1.0,0.2,0.38632216139759135,0.3691737121597658,0.1499073227186044
0.3,1.0,1.0,0.2,0.35490698267143356,0.3521362678394153,0.12005702199754271
0.9,1.5,1.0,0.2,0.4527376948334918,0.4478773764705696,0.17887555149389936
0.6,1.5,1.0,0.2,0.353726166091441,0.3487923145054931,0.14314422870969087
0.3,1.5,1.0,0.2,0.3179843690950853,0.31017750310504455,0.1206383758308272
0.9,2.0,1.0,0.2,0.40327294470748987,0.42269862344606235,0.16890056384831817
0.6,2.0,1.0,0.2,0.3525547049348644,0.33976494528763396,0.1443277021832214
0.3,2.0,1.0,0.2,0.3086501477337718,0.31220892811225787,0.11405213061867886
