U,A_j,alpha,threshold,mean_I,median_I,std_I
0.9,4.0,0.0,0.1,0.5384310085243665,0.5645793168354841,0.20077962619558118
0.9,4.0,0.0,0.2,0.3879975548582448,0.3731230571501759,0.2060465635913275
0.9,4.0,0.0,0.3,0.3450619437165969,0.32013384545951823,0.20596621791926592
0.9,4.0,0.25,0.1,0.48068248199746605,0.471739281120055,0.1995821768133008
0.9,4.0,0.25,0.2,0.3642653544740918,0.36161305506150954,0.21554548318889863
0.9,4.0,0.25,0.3,0.3210823745014001,0.2799432096200626,0.2148850592207996
0.9,4.0,0.5,0.1,0.4935650815837959,0.48839030763116537,0.20881819626282538
0.9,4.0,0.5,0.2,0.3940097274056925,0.4114940146994178,0.2196274834552699
0.9,4.0,0.5,0.3,0.27428937446577184,0.2623528789249633,0.18952060445501434
0.9,4.0,0.75,0.1,0.5160857015541401,0.4889385622225182,0.2158613274237745
0.9,4.0,0.75,0.2,0.37257050129546576,0.33195572302568344,0.2186507672696131
0.9,4.0,0.75,0.3,0.3058768222533637,0.269167324567142,0.219746965821558
0.9,4.0,1.0,0.1,0.544353583861203,0.5230864713743282,0.22339227471374118
0.9,4.0,1.0,0.2,0.38274140919883787,0.3514089385108463,0.21010035673414323
0.9,4.0,1.0,0.3,0.33425022558100353,0.32046623784156314,0.2229593107974783
0.9,4.5,0.0,0.1,0.5031693446472724,0.5129508246113601,0.2016523892546371
0.9,4.5,0.0,0.2,0.4014088307271341,0.4081341244198361,0.21559484746972762
0.9,4.5,0.0,0.3,0.2989059517728355,0.27717763519506344,0.19911718132578138
0.9,4.5,0.25,0.1,0.49654983113157014,0.4964193397598088,0.17371175929478086
0.9,4.5,0.25,0.2,0.37983676448314635,0.3333017422529617,0.20547825631394562
0.9,4.5,0.25,0.3,0.3196664645741587,0.31750137654694377,0.20539191877715265
0.9,4.5,0.5,0.1,0.5385876108058764,0.5223122034890748,0.20473172827530053
0.9,4.5,0.5,0.2,0.3649938592983005,0.3774403809666508,0.18181671778526506
0.9,4.5,0.5,0.3,0.28019896577199843,0.24284893374592492,0.19006007901149766
0.9,4.5,0.75,0.1,0.5344297519767272,0.5600335258573362,0.19072939588609822
0.9,4.5,0.75,0.2,0.3545838881845079,0.3388516237102718,0.19311941357620926
0.9,4.5,0.75,0.3,0.2607970894149836,0.23930886348187985,0.19064926074420077
0.9,4.5,1.0,0.1,0.4785347856858324,0.4726441201581175,0.19245905749651854
0.9,4.5,1.0,0.2,0.36805254484784244,0.3645046158854752,0.22020543244553115
0.9,4.5,1.0,0.3,0.3520289698129626,0.3480610426792709,0.21057757063041793
0.9,5.0,0.0,0.1,0.4750628286530312,0.46841437988597284,0.1828045996203594
0.9,5.0,0.0,0.2,0.36112803345279043,0.3294647641387234,0.20140991566928762
0.9,5.0,0.0,0.3,0.31913465326826024,0.3112906933475105,0.22165550621403401
0.9,5.0,0.25,0.1,0.46645397905291164,0.4642660869791,0.18317945173742206
0.9,5.0,0.25,0.2,0.39253002975506246,0.40574531574400774,0.19604705275483017
0.9,5.0,0.25,0.3,0.2976541071140417,0.29097742471192445,0.19635244969060364
0.9,5.0,0.5,0.1,0.47122861861821724,0.4252681818957271,0.19826208955078325
0.9,5.0,0.5,0.2,0.35299010284825044,0.31707927800592983,0.19269256815055466
0.9,5.0,0.5,0.3,0.27788407001337057,0.2698959021186305,0.19269199622664246
0.9,5.0,0.75,0.1,0.4735008791057313,0.4672657524455174,0.20130376235094766
0.9,5.0,0.75,0.2,0.3361676736108206,0.30395011423455726,0.20056221696194426
0.9,5.0,0.75,0.3,0.22054688820031068,0.19292738682898708,0.16885242759380112
0.9,5.0,1.0,0.1,0.464330734464989,0.44635895682372606,0.19080195883069626
0.9,5.0,1.0,0.2,0.3849121119974283,0.3923550486087556,0.21175988105067683
0.9,5.0,1.0,0.3,0.26371078684831756,0.23140299454504273,0.19532739860707807
